,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Broken Hill,AU,-31.95,141.4333,42.12,78,46,6.24,scattered clouds
294,Jalu,LY,29.0331,21.5482,79.92,53,0,15.64,clear sky
295,Katsuura,JP,35.1333,140.3,84.11,85,47,6.04,scattered clouds
296,Khorixas,NA,-20.3667,14.9667,67.39,34,41,8.79,scattered clouds
297,Marystown,CA,47.1666,-55.1483,60.4,82,100,9.13,overcast clouds
298,Paamiut,GL,61.994,-49.6678,46.22,95,100,4.7,light rain
299,Rudbar,AF,30.15,62.6,93.99,30,12,8.66,few clouds
300,Durango,MX,24.8333,-104.8333,76.23,45,81,8.05,broken clouds
301,Henties Bay,NA,-22.116,14.2845,73.85,55,16,8.32,few clouds
302,Tongliao,CN,43.6125,122.2653,75.11,73,71,13.8,broken clouds
303,La Paz,BO,-16.5,-68.15,58.98,13,20,9.22,few clouds
304,Kiomboi,TZ,-4.2667,34.3667,60.26,42,87,10.07,overcast clouds
305,Souillac,MU,-20.5167,57.5167,68.36,79,24,14.16,few clouds
306,Kirakira,SB,-10.4544,161.9205,82.87,79,36,11.03,scattered clouds
307,Sabang,ID,5.8933,95.3214,82.04,72,71,18.84,broken clouds
308,Caluquembe,AO,-13.7833,14.6833,58.75,38,27,3.36,scattered clouds
309,Soyo,AO,-6.1349,12.3689,71.74,90,57,5.57,broken clouds
310,Maceio,BR,-9.6658,-35.7353,76.44,83,20,3.44,few clouds
311,Upernavik,GL,72.7868,-56.1549,40.1,74,99,12.15,overcast clouds
312,Jamsa,FI,61.8642,25.19,63.32,68,0,3.98,clear sky
313,Axim,GH,4.8699,-2.2405,76.3,78,59,5.99,broken clouds
314,Chabahar,IR,25.2919,60.643,83.53,79,59,8.77,broken clouds
315,High Level,CA,58.5169,-117.136,55.51,71,90,3.44,light rain
316,Lata,PT,40.1629,-8.3327,65.05,82,0,2.33,clear sky
317,Goundi,TD,9.3627,17.366,73.76,89,99,2.06,overcast clouds
318,Hithadhoo,MV,-0.6,73.0833,82.02,73,17,3.06,few clouds
319,Shelburne,CA,44.0787,-80.2041,74.23,45,99,7.02,overcast clouds
320,Sangar,RU,63.9242,127.4739,57.99,63,100,8.37,overcast clouds
321,Johi,PK,26.6921,67.6133,94.39,58,53,11.5,broken clouds
322,Ebebiyin,GQ,2.1511,11.3353,68.94,94,100,4.63,overcast clouds
323,Khatanga,RU,71.9667,102.5,55.98,72,73,4.76,broken clouds
324,Along,IN,28.1667,94.7667,74.64,100,100,0.63,overcast clouds
325,Itarema,BR,-2.9248,-39.9167,79.05,78,22,11.03,few clouds
326,Pasni,PK,25.2631,63.471,83.19,85,30,16.24,scattered clouds
327,Skibotn,NO,69.3913,20.2679,52.47,82,100,3.31,overcast clouds
328,Springbok,ZA,-29.6643,17.8865,51.98,32,0,7.81,clear sky
329,Karaton,ID,-6.3424,106.1045,77.95,86,65,0.38,broken clouds
330,Dicabisagan,PH,17.0818,122.4157,79.23,88,99,3.44,overcast clouds
331,U Thong,TH,14.3751,99.8923,82.24,80,100,7.52,overcast clouds
332,Jambi,ID,-1.6,103.6167,72.12,93,8,3.04,clear sky
333,Makamba,BI,-4.1348,29.804,61.05,60,73,1.21,broken clouds
334,Sibolga,ID,1.7427,98.7792,74.26,76,43,3.47,moderate rain
335,Masterton,NZ,-40.9597,175.6575,57.18,88,99,15.9,light rain
336,Waipawa,NZ,-41.4122,175.5153,55.02,79,53,20.11,light rain
337,Preili,LV,56.2944,26.7246,65.77,92,39,4.03,scattered clouds
338,Lima,PE,-12.0432,-77.0282,61.14,77,90,5.75,overcast clouds
339,Ardakan,IR,32.31,54.0175,88.99,32,100,1.03,overcast clouds
340,Antofagasta,CL,-23.65,-70.4,56.48,76,100,2.15,overcast clouds
341,Shu,KZ,43.5983,73.7614,69.22,18,0,7.29,clear sky
342,Staunton,US,38.1496,-79.0717,89.69,63,75,14.97,broken clouds
343,Portales,US,34.1862,-103.3344,93.09,27,29,13.4,scattered clouds
344,Gat,IL,31.61,34.7642,84.4,63,0,5.66,clear sky
345,San Jeronimo,PE,-11.9472,-75.2829,57.92,50,55,6.8,broken clouds
